"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","215","testLogin","API-Testing-QA Suite","Wed Mar 25 01:59:03 UTC 2026","passed","Wed Mar 25 01:59:03 UTC 2026","tests.TokenAuthTest","API Tests","tests.TokenAuthTest","testLogin"
"","118","testLoginWithMultipleScenarios","API-Testing-QA Suite","Wed Mar 25 01:59:04 UTC 2026","passed","Wed Mar 25 01:59:04 UTC 2026","tests.DataDrivenTest","API Tests","tests.DataDrivenTest","testLoginWithMultipleScenarios"
"","142","testDeserializeResponse","API-Testing-QA Suite","Wed Mar 25 01:59:03 UTC 2026","passed","Wed Mar 25 01:59:03 UTC 2026","tests.PojoTest","API Tests","tests.PojoTest","testDeserializeResponse"
"","62","testDeleteUser","API-Testing-QA Suite","Wed Mar 25 01:59:03 UTC 2026","passed","Wed Mar 25 01:59:03 UTC 2026","tests.UserLifecycleTest","API Tests","tests.UserLifecycleTest","testDeleteUser"
"","76","testCreateUser","API-Testing-QA Suite","Wed Mar 25 01:59:03 UTC 2026","passed","Wed Mar 25 01:59:03 UTC 2026","tests.UserLifecycleTest","API Tests","tests.UserLifecycleTest","testCreateUser"
"","577","testCreateNewUser","API-Testing-QA Suite","Wed Mar 25 01:59:02 UTC 2026","passed","Wed Mar 25 01:59:03 UTC 2026","tests.CreateUserTest","API Tests","tests.CreateUserTest","testCreateNewUser"
"","2152","testExtractAndPrintUserInfo","API-Testing-QA Suite","Wed Mar 25 01:59:00 UTC 2026","passed","Wed Mar 25 01:59:02 UTC 2026","tests.GetUsersTest","API Tests","tests.GetUsersTest","testExtractAndPrintUserInfo"
"","91","testGetUser","API-Testing-QA Suite","Wed Mar 25 01:59:02 UTC 2026","passed","Wed Mar 25 01:59:02 UTC 2026","tests.GetUsersTest","API Tests","tests.GetUsersTest","testGetUser"
"","46","testGetCreatedUser","API-Testing-QA Suite","Wed Mar 25 01:59:03 UTC 2026","passed","Wed Mar 25 01:59:03 UTC 2026","tests.UserLifecycleTest","API Tests","tests.UserLifecycleTest","testGetCreatedUser"
"","104","testLoginWithMultipleScenarios","API-Testing-QA Suite","Wed Mar 25 01:59:04 UTC 2026","passed","Wed Mar 25 01:59:04 UTC 2026","tests.DataDrivenTest","API Tests","tests.DataDrivenTest","testLoginWithMultipleScenarios"
"","99","testLoginWithMultipleScenarios","API-Testing-QA Suite","Wed Mar 25 01:59:03 UTC 2026","passed","Wed Mar 25 01:59:04 UTC 2026","tests.DataDrivenTest","API Tests","tests.DataDrivenTest","testLoginWithMultipleScenarios"
"","85","testGetCurrentUser","API-Testing-QA Suite","Wed Mar 25 01:59:03 UTC 2026","passed","Wed Mar 25 01:59:03 UTC 2026","tests.TokenAuthTest","API Tests","tests.TokenAuthTest","testGetCurrentUser"
